Provinsi,Produksi Padi (Ton),Produksi Beras (Ton),Tahun,Produksi Padi (Ton)_Outlier,Produksi Beras (Ton)_Outlier
Sulawesi Selatan,4818429.39,2764990.01,2024,True,True
Sulawesi Tenggara,555836.08,319205.15,2024,False,False
Gorontalo,234862.88,131138.53,2024,False,False
Sulawesi Barat,318876.59,183138.8,2024,False,False
Maluku,91125.35,51031.04,2024,False,False
Maluku Utara,31232.95,17478.19,2024,False,False
Papua Barat,20729.15,12455.13,2024,False,False
Papua Barat Daya,988.64,594.02,2024,False,False
Papua,4609.95,2632.19,2024,False,False
Papua Selatan,217789.62,124355.12,2024,False,False
Papua Tengah,6072.38,3467.26,2024,False,False
Papua Pegunungan,42.38,24.2,2024,False,False
Indonesia,53142726.65,30621248.72,2024,True,True
